hearing_id,document_id,unit_type,start_timestamp,speaker_name,speaker_role,n_words,duration_seconds,category,category_label,seed_hit_count,seed_hit_any,tfidf_similarity
h1_2025_12_03,h1_2025_12_03_t00247,comment,02:07:54.235,Unknown speaker,public,22,6.927000000000589,land_use,Land use,0,False,0.02029694143052428
h1_2025_12_03,h1_2025_12_03_t00248,comment,02:08:01.957,Unknown speaker,official,353,100.3149999999996,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00251,comment,02:09:53.807,Unknown speaker,official,20,7.655000000000655,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00252,comment,02:10:01.502,Unknown speaker,public,361,113.3189999999995,land_use,Land use,0,False,0.022934019701470743
h1_2025_12_03,h1_2025_12_03_t00255,comment,02:11:57.903,Unknown speaker,official,24,6.824999999999818,land_use,Land use,0,False,0.006672714747516005
h1_2025_12_03,h1_2025_12_03_t00261,comment,02:12:18.265,Unknown speaker,public,270,79.59299999999985,land_use,Land use,0,False,0.018772617781726883
h1_2025_12_03,h1_2025_12_03_t00263,comment,02:13:42.609,Unknown speaker,official,237,84.20599999999922,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00264,comment,02:15:07.555,Unknown speaker,public,51,23.456999999999425,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00265,comment,02:15:31.452,Unknown speaker,public,194,66.26600000000053,land_use,Land use,0,False,0.013667712424215711
h1_2025_12_03,h1_2025_12_03_t00266,comment,02:16:38.759,Unknown speaker,official,37,12.647999999999229,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00268,comment,02:16:53.488,Unknown speaker,official,57,20.8020000000015,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00269,comment,02:17:17.372,Unknown speaker,official,55,18.153000000000247,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00270,comment,02:17:37.322,Unknown speaker,public,127,36.80400000000009,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00273,comment,02:18:17.849,Unknown speaker,official,29,8.0049999999992,land_use,Land use,0,False,0.005982376657350977
h1_2025_12_03,h1_2025_12_03_t00275,comment,02:18:26.891,Unknown speaker,official,142,47.452000000001135,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00277,comment,02:19:21.536,Unknown speaker,staff,141,53.64400000000023,land_use,Land use,2,True,0.023598698752890838
h1_2025_12_03,h1_2025_12_03_t00278,comment,02:20:18.741,Unknown speaker,staff,112,47.638999999999214,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00281,comment,02:21:09.237,Unknown speaker,staff,22,7.483000000000175,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00282,comment,02:21:19.861,Unknown speaker,staff,20,5.34099999999853,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00283,comment,02:21:34.898,Unknown speaker,staff,117,51.699000000000524,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00284,comment,02:22:34.085,Unknown speaker,staff,241,115.44000000000051,land_use,Land use,0,False,0.013139282931455628
h1_2025_12_03,h1_2025_12_03_t00286,comment,02:24:40.305,Unknown speaker,official,33,9.066999999999098,land_use,Land use,0,False,0.005681357155495739
h1_2025_12_03,h1_2025_12_03_t00287,comment,02:24:52.095,Unknown speaker,staff,471,210.58300000000054,land_use,Land use,13,True,0.05298371625984612
h1_2025_12_03,h1_2025_12_03_t00288,comment,02:28:25.720,Unknown speaker,staff,124,47.85200000000077,land_use,Land use,4,True,0.027720022940649326
h1_2025_12_03,h1_2025_12_03_t00289,comment,02:29:16.689,Unknown speaker,staff,25,12.265999999999622,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00297,comment,02:30:12.103,Unknown speaker,consultant,32,15.031000000000859,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00298,comment,02:30:30.295,Unknown speaker,consultant,598,218.59900000000016,land_use,Land use,0,False,0.005064898770840704
h1_2025_12_03,h1_2025_12_03_t00300,comment,02:34:12.775,Unknown speaker,consultant,607,210.19900000000052,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00301,comment,02:37:47.512,Unknown speaker,consultant,775,290.66399999999885,land_use,Land use,0,False,0.007768029665003453
h1_2025_12_03,h1_2025_12_03_t00303,comment,02:42:39.237,Unknown speaker,consultant,380,126.00300000000061,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00305,comment,02:44:46.400,Unknown speaker,consultant,532,183.47400000000016,land_use,Land use,0,False,0.006889065906305361
h1_2025_12_03,h1_2025_12_03_t00306,comment,02:47:49.914,Unknown speaker,official,81,28.02599999999984,land_use,Land use,0,False,0.0031316121329788083
h1_2025_12_03,h1_2025_12_03_t00307,comment,02:48:18.709,Unknown speaker,unknown,114,28.9479999999985,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00308,comment,02:48:48.247,Unknown speaker,official,108,41.73999999999978,land_use,Land use,0,False,0.005150269635422244
h1_2025_12_03,h1_2025_12_03_t00309,comment,02:49:33.028,Unknown speaker,official,20,9.16399999999885,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00311,comment,02:49:46.417,Unknown speaker,official,78,39.70800000000054,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00313,comment,02:50:27.825,Unknown speaker,official,30,14.167999999999665,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00314,comment,02:50:44.580,Unknown speaker,staff,212,98.42900000000009,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00315,comment,02:52:23.249,Unknown speaker,official,77,31.99699999999939,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00318,comment,02:53:04.913,Unknown speaker,staff,66,27.462999999999738,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00321,comment,02:53:45.206,Unknown speaker,staff,91,36.55799999999908,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00326,comment,02:54:35.691,Unknown speaker,official,28,6.222999999999956,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00327,comment,02:54:42.414,Unknown speaker,official,26,12.417999999999665,land_use,Land use,0,False,0.004771020752770273
h1_2025_12_03,h1_2025_12_03_t00330,comment,02:55:06.161,Unknown speaker,official,105,33.48899999999958,land_use,Land use,0,False,0.006817705531035427
h1_2025_12_03,h1_2025_12_03_t00331,comment,02:55:39.670,Unknown speaker,staff,26,11.962999999999738,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00334,comment,02:56:04.983,Unknown speaker,official,139,54.615999999999985,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00335,comment,02:56:59.759,Unknown speaker,consultant,20,4.743000000000393,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00338,comment,02:57:13.788,Unknown speaker,official,20,5.502999999998792,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00339,comment,02:57:19.731,Unknown speaker,consultant,18,8.585000000000946,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00341,comment,02:57:35.020,Unknown speaker,consultant,337,131.6279999999988,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00342,comment,02:59:46.668,Unknown speaker,official,56,22.02100000000064,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00343,comment,03:00:09.710,Unknown speaker,consultant,122,39.27000000000044,land_use,Land use,0,False,0.007303627626975872
